exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,dmist^{vir/+},92,231,18.5,92.5,92.5,5.76851851851852,2.48422472437251,3.27962585866354,0.579222613544647
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/vir},134.5,314,23,72,72,5.71904761904762,4.40849420849421,4.43474008132762,0.58799517724943
1,6,dmist^{i8/vir},135.5,159.5,29.5,84.5,84.5,4.46875,1.91106382978723,3.38550510954848,0.71738619226542
1,6,dmist^{i8/vir},24.5,53.5,6,42,42,5.1875,1.19339111592633,4.21478381929204,0.900304160155949
1,6,dmist^{i8/vir},69,224.5,26.5,95.5,95.5,3.21627906976744,2.39882749013234,3.07274362928692,0.470768878718535
1,6,dmist^{i8/vir},63,175,13.5,103.5,103.5,3.98571428571429,1.6703477443609,3.13921138609818,0.616475297963848
1,6,dmist^{i8/vir},81.5,261.5,24.5,83,83,3.34568965517241,3.18630952380952,3.10631697269937,0.626797353589806
1,6,dmist^{i8/vir},474,333.5,47,96.5,96.5,10.0851063829787,3.45317869415808,2.80312201977614,0.509822925079678
1,6,dmist^{i8/vir},183.5,360,44,85,85,4.32708333333333,4.23193230683867,3.20019877214171,0.670134408602149
1,6,dmist^{i8/vir},125.5,214,23.5,81.5,81.5,4.98084291187739,2.60219696969697,4.23757494010451,0.802473724685979
1,6,dmist^{i8/vir},101,322,23,103,103,4.60576923076923,3.1846372688478,4.39281053137095,0.564578636607621
1,6,dmist^{i8/vir},157.5,488,23.5,55,55,7.56666666666667,8.99565071930412,5.40129450855843,0.643069063386943
1,6,dmist^{i8/vir},324,363.5,62,95,95,5.2484375,4.07257326007326,3.32022878438717,0.475741104737453
1,6,dmist^{i8/vir},319,463.5,74,61,61,5.32773109243697,8.74553571428572,3.54313331485587,0.479985337243402
1,6,dmist^{i8/vir},354.5,289,44,62.5,62.5,8.53719676549865,4.53877760657422,3.20265567765567,0.944867943682599
1,6,dmist^{i8/vir},97,411.5,42.5,90.5,90.5,2.36114221724524,4.56348039215686,2.93248782857692,0.505430999180998
1,6,dmist^{i8/vir},91.5,384,31,99.5,99.5,3.25585284280936,4.12715563125399,3.19650324564987,0.554045841707339
1,6,dmist^{i8/vir},103.5,237.5,34,110.5,110.5,2.53222222222222,2.14387604525332,2.83994878822217,0.714056234963914
1,6,dmist^{i8/vir},128.5,259.5,38.5,107,107,3.11518518518518,2.4169071984606,3.27048788656916,0.537326903520349
1,6,dmist^{i8/vir},93.5,189.5,29,91,91,3.33333333333333,1.96194530443756,3.48259510125889,0.717485442859445
1,6,dmist^{i8/vir},246,245,68,68,68,3.76739926739927,3.67213114754098,3.68246198266556,0.779518415474298
1,6,dmist^{i8/vir},108.5,179,15.5,88.5,88.5,5.61574074074074,2.07203389830508,6.14636090620718,0.709720126999719
